date,cy_date,year,month_name,date_yy_mmm,product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency,profit_margin_percentage,profit_margin,cost_price
2020-01-02,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-02,1,102,INR,0.14,14.28,87.72
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-08,1,102,INR,0.34,34.68,67.32
2020-01-09,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-09,1,102,INR,-0.16,-16.32,118.32
2020-01-10,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-10,1,102,INR,0.02,2.04,99.96
2020-01-20,2020-01-01,2020,January,"20-Jan",Prod279,Cus020,Mark011,2020-01-20,1,102,INR,-0.1,-10.2,112.2
2020-01-03,2020-01-01,2020,January,"20-Jan",Prod278,Cus020,Mark011,2020-01-03,1,102,INR,-0.05,-5.1,107.1
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-08,1,102,INR,0.32,32.64,69.36
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-17,1,102,INR,0.17,17.34,84.66
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod131,Cus020,Mark011,2020-01-15,1,102,INR,-0.29,-29.58,131.58
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod290,Cus020,Mark011,2020-01-15,1,102,INR,0.17,17.34,84.66
2020-01-15,2020-01-01,2020,January,"20-Jan",Prod292,Cus020,Mark011,2020-01-15,1,102,INR,-0.19,-19.38,121.38
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-16,1,102,INR,0.17,17.34,84.66
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-17,1,102,INR,-0.13,-13.26,115.26
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod292,Cus020,Mark011,2020-01-21,1,102,INR,-0.18,-18.36,120.36
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-27,1,102,INR,-0.16,-16.32,118.32
2020-01-31,2020-01-01,2020,January,"20-Jan",Prod056,Cus020,Mark011,2020-01-31,1,102,INR,-0.13,-13.26,115.26
2020-01-09,2020-01-01,2020,January,"20-Jan",Prod286,Cus020,Mark011,2020-01-09,1,65,INR,0.3,19.5,45.5
2020-01-03,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-03,1,65,INR,0.37,24.05,40.95
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod263,Cus020,Mark011,2020-01-17,1,65,INR,0.09,5.85,59.15
2020-01-08,2020-01-01,2020,January,"20-Jan",Prod295,Cus020,Mark011,2020-01-08,1,65,INR,-0.13,-8.45,73.45
2020-01-02,2020-01-01,2020,January,"20-Jan",Prod294,Cus020,Mark011,2020-01-02,1,204,INR,-0.24,-48.96,252.96
2020-01-16,2020-01-01,2020,January,"20-Jan",Prod292,Cus020,Mark011,2020-01-16,1,204,INR,0.01,2.04,201.96
2020-01-17,2020-01-01,2020,January,"20-Jan",Prod278,Cus020,Mark011,2020-01-17,1,204,INR,-0.07,-14.28,218.28
2020-01-21,2020-01-01,2020,January,"20-Jan",Prod290,Cus020,Mark011,2020-01-21,1,204,INR,0.28,57.12,146.88
2020-01-22,2020-01-01,2020,January,"20-Jan",Prod292,Cus020,Mark011,2020-01-22,1,204,INR,-0.22,-44.88,248.88
2020-01-27,2020-01-01,2020,January,"20-Jan",Prod292,Cus020,Mark011,2020-01-27,1,204,INR,0.11,22.44,181.56
2020-01-28,2020-01-01,2020,January,"20-Jan",Prod131,Cus020,Mark011,2020-01-28,1,204,INR,0.24,48.96,155.04
2020-01-30,2020-01-01,2020,January,"20-Jan",Prod292,Cus020,Mark011,2020-01-30,1,204,INR,-0.28,-57.12,261.12
